,8801.T,8802.T,8804.T,8830.T,3003.T,8931.T,8934.T,3289.T,8951.T,8952.T,8953.T,8954.T,8955.T,8956.T,8957.T,8958.T,8960.T,8961.T,"('8801.T', '8801.T')","('8802.T', '8802.T')","('8804.T', '8804.T')","('8830.T', '8830.T')","('3003.T', '3003.T')","('8931.T', '8931.T')","('8934.T', '8934.T')","('3289.T', '3289.T')","('8951.T', '8951.T')","('8952.T', '8952.T')","('8953.T', '8953.T')","('8954.T', '8954.T')","('8955.T', '8955.T')","('8956.T', '8956.T')","('8957.T', '8957.T')","('8958.T', '8958.T')","('8960.T', '8960.T')","('8961.T', '8961.T')","('8801.T', '8801.T').1","('8802.T', '8802.T').1","('8804.T', '8804.T').1","('8830.T', '8830.T').1","('3003.T', '3003.T').1","('8931.T', '8931.T').1","('8934.T', '8934.T').1","('3289.T', '3289.T').1","('8951.T', '8951.T').1","('8952.T', '8952.T').1","('8953.T', '8953.T').1","('8954.T', '8954.T').1","('8955.T', '8955.T').1","('8956.T', '8956.T').1","('8957.T', '8957.T').1","('8958.T', '8958.T').1","('8960.T', '8960.T').1","('8961.T', '8961.T').1"
2021-05-13,717.5808715820312,1627.8726806640625,1352.2562255859375,1695.5426025390625,957.8546142578124,612.5142822265625,797.808837890625,515.0191650390625,112342.3359375,106491.71875,84077.25,75260.3203125,85616.53125,126480.265625,148659.578125,92961.875,129051.34375,60616.2890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,726.8592529296875,1639.3109130859375,1363.1343994140625,1635.1712646484375,961.1717529296876,623.4940185546875,790.2902221679688,522.7061157226562,112176.8828125,106001.7109375,83290.0078125,75461.1015625,85109.3203125,125348.1015625,147443.71875,92036.109375,127699.6015625,60418.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,738.8314819335938,1652.1217041015625,1388.23828125,1686.1826171875,992.685546875,618.788330078125,783.6070556640625,544.9125366210938,113004.140625,106655.0546875,85179.390625,77067.515625,86123.734375,126884.625,151091.328125,95507.71875,129051.34375,61445.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,768.4625244140625,1661.2718505859375,1430.0780029296875,1740.4698486328125,1017.565185546875,618.788330078125,790.2902221679688,544.0585327148438,115155.03125,108941.671875,84628.3125,78513.296875,87442.46875,126318.5390625,151739.796875,95430.5703125,129926.0,61682.50390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,759.6329956054688,1645.7161865234375,1402.4637451171875,1697.41455078125,1021.7116088867188,618.788330078125,781.100830078125,529.5388793945312,116975.0078125,110248.328125,84392.1484375,79276.34375,87036.6953125,126075.9296875,150848.140625,95507.71875,129926.0,61879.94921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20,754.544921875,1658.52685546875,1425.8939208984375,1712.3902587890625,1021.7116088867188,618.0040893554688,783.6070556640625,526.9766235351562,117140.4765625,109431.6796875,85573.015625,78794.40625,86732.3828125,126561.1328125,152226.125,95353.421875,130323.5546875,61840.46484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,748.7083740234375,1649.8336181640625,1423.383544921875,1704.9024658203125,1026.6873779296875,619.5728149414062,782.7715454101562,531.2470092773438,114989.6015625,107798.3671875,85179.390625,78754.265625,86833.828125,125995.078125,152955.625,95430.5703125,128971.84375,61208.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,754.9938354492188,1641.140869140625,1420.03662109375,1700.2225341796875,1024.1995849609375,619.5728149414062,796.1380004882812,535.5175170898438,116313.1953125,109105.0078125,85809.171875,79959.0703125,87239.59375,127127.25,154414.671875,96124.8828125,130800.6796875,61485.05078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25,756.9393310546875,1642.970947265625,1438.44580078125,1709.1143798828125,1025.858154296875,621.1412963867188,788.619384765625,540.64208984375,117305.9140625,109268.3515625,85651.7265625,80240.203125,87543.9140625,128340.2578125,155144.1875,96279.1875,129528.453125,61761.48046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,761.8777465820312,1657.61181640625,1433.4251708984375,1713.79443359375,1014.2476806640624,621.1412963867188,771.0760498046875,537.2257080078125,117140.4765625,110248.328125,86045.34375,80762.2578125,87949.671875,128825.5078125,156441.125,96124.8828125,130164.546875,61445.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27,763.5239868164062,1658.0693359375,1402.4637451171875,1696.478515625,1013.41845703125,618.0040893554688,761.8865356445312,546.6207885742188,115320.484375,109595.0078125,86438.9765625,82127.7265625,86630.921875,130442.8828125,157738.03125,95121.9921875,128892.3359375,61248.11328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,782.8291015625,1657.61181640625,1406.647705078125,1756.3817138671875,1030.8341064453125,621.9254760742188,776.9237060546875,566.2649536132812,116313.1953125,108941.671875,86753.8671875,81123.7109375,87239.59375,129957.6953125,158062.265625,95893.453125,127781.5234375,61524.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,763.074951171875,1622.8399658203125,1362.2978515625,1703.030517578125,1020.8823852539062,621.1412963867188,770.2406005859375,555.1618041992188,114824.140625,107798.3671875,87226.2109375,81726.109375,87341.0234375,129715.078125,156765.328125,95044.84375,127295.046875,61524.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,768.6121215820312,1621.4671630859375,1358.11376953125,1716.13427734375,1020.8823852539062,627.4154052734375,768.56982421875,564.5567016601562,113996.8671875,107145.0390625,86753.8671875,81404.8203125,87848.234375,129229.8359375,157008.53125,95970.6015625,128349.078125,61208.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-02,808.8685302734375,1679.5728759765625,1389.9119873046875,1789.609375,1053.225341796875,624.2783203125,776.9237060546875,597.8665161132812,115651.3984375,108941.671875,88249.609375,82248.203125,88558.328125,130281.140625,159602.375,96433.484375,129808.5546875,61287.61328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,809.7664184570312,1695.5865478515625,1415.8524169921875,1799.9052734375,1057.3719482421875,629.7682495117188,790.2902221679688,596.1581420898438,117967.734375,110411.65625,89666.6484375,83171.8828125,89572.734375,131817.671875,161871.953125,97127.8046875,129322.0625,61998.42578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,801.2362060546875,1682.318115234375,1403.3006591796875,1783.5255126953125,1045.76171875,634.473876953125,795.3026733398438,589.3255615234375,115816.8515625,109105.0078125,89273.0390625,83011.2421875,89166.96875,131979.40625,160656.109375,96510.6171875,128268.015625,61524.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,808.5692138671875,1681.8604736328125,1409.994873046875,1787.7374267578125,1054.8841552734375,637.6109008789062,820.3646850585938,603.8450927734375,116147.75,110085.0,90532.609375,84296.375,89471.2890625,133111.59375,161628.796875,97204.9375,130943.609375,62195.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,808.7188720703125,1694.2137451171875,1407.4844970703125,1797.0972900390625,1070.6409912109375,637.6109008789062,840.4142456054688,618.36474609375,117967.734375,111228.3046875,89902.828125,85059.4140625,90688.6015625,134890.75,164222.640625,99133.609375,131024.7109375,63064.62890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
