,8306.T,8316.T,8411.T,8331.T,8308.T,8309.T,8304.T,8354.T,8377.T,8359.T,8253.T,8601.T,8604.T,8697.T,8002.T,8031.T,8053.T,8058.T,"('8306.T', '8306.T')","('8316.T', '8316.T')","('8411.T', '8411.T')","('8331.T', '8331.T')","('8308.T', '8308.T')","('8309.T', '8309.T')","('8304.T', '8304.T')","('8354.T', '8354.T')","('8377.T', '8377.T')","('8359.T', '8359.T')","('8253.T', '8253.T')","('8601.T', '8601.T')","('8604.T', '8604.T')","('8697.T', '8697.T')","('8002.T', '8002.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8058.T', '8058.T')","('8306.T', '8306.T').1","('8316.T', '8316.T').1","('8411.T', '8411.T').1","('8331.T', '8331.T').1","('8308.T', '8308.T').1","('8309.T', '8309.T').1","('8304.T', '8304.T').1","('8354.T', '8354.T').1","('8377.T', '8377.T').1","('8359.T', '8359.T').1","('8253.T', '8253.T').1","('8601.T', '8601.T').1","('8604.T', '8604.T').1","('8697.T', '8697.T').1","('8002.T', '8002.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8058.T', '8058.T').1"
2021-04-05,512.9977416992188,1100.876220703125,1330.5166015625,633.5851440429688,410.4582214355469,1575.6376953125,2023.64111328125,1765.2191162109375,906.0088500976562,339.3792724609375,1135.894287109375,469.7244873046875,493.3497924804688,1155.10498046875,758.018310546875,992.3184204101562,1272.1044921875,887.7881469726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,502.4118347167969,1076.1590576171875,1292.887451171875,614.69775390625,397.96490478515625,1538.491943359375,1985.5966796875,1743.53955078125,881.779541015625,325.1336975097656,1143.4112548828125,466.4681701660156,492.6884460449219,1142.3497314453125,740.9896850585938,991.2529907226562,1266.87109375,877.8607177734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,501.5717468261719,1080.5047607421875,1292.4783935546875,615.5563354492188,398.0515747070313,1554.41162109375,2006.6422119140625,1724.3614501953125,886.1061401367188,323.457763671875,1144.246337890625,468.9104614257813,483.26458740234375,1144.0791015625,755.5621948242188,998.499267578125,1272.1044921875,882.96630859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,488.9692993164063,1055.2442626953125,1272.845703125,594.9519653320312,388.681640625,1532.77734375,1967.7889404296875,1681.0023193359375,841.9739379882812,312.5640869140625,1104.9912109375,465.0843200683594,476.8166198730469,1170.0220947265625,740.3345947265625,980.8096313476562,1251.1708984375,869.63525390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,489.4734497070313,1051.9847412109375,1276.117919921875,601.8200073242188,389.72271728515625,1529.919921875,1962.93212890625,1665.9932861328125,847.1658935546875,313.402099609375,1104.156005859375,468.096435546875,483.5951843261719,1243.0943603515625,746.0654296875,976.1207275390624,1243.5223388671875,863.9624633789062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,489.8935546875,1054.9725341796875,1268.7557373046875,601.8200073242188,394.5812377929688,1528.695068359375,1950.7900390625,1675.9990234375,847.1658935546875,316.7539367675781,1092.462890625,472.6552429199219,479.4619140625,1211.7469482421875,746.4747314453125,977.3994750976562,1245.132568359375,870.2025756835938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,492.7501220703125,1054.1578369140625,1262.62060546875,600.10302734375,390.8506164550781,1533.5933837890625,1943.5050048828125,1668.4947509765625,843.7046508789062,313.402099609375,1104.156005859375,473.5506591796875,483.8432312011719,1208.5040283203125,750.0770263671875,981.6620483398438,1250.365966796875,869.068115234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,490.4816284179688,1045.4658203125,1258.5306396484375,595.8104248046875,386.7729187011719,1520.939453125,1953.2188720703125,1649.316650390625,839.3779296875,313.402099609375,1092.462890625,470.7015075683594,472.02197265625,1200.7210693359375,732.0660400390625,973.136962890625,1234.665771484375,859.7078857421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,497.0347595214844,1062.03466796875,1276.117919921875,599.2444458007812,390.9373779296875,1538.0836181640625,1967.7889404296875,1649.316650390625,847.1658935546875,315.0780639648437,1090.79248046875,474.5276489257813,481.528564453125,1197.6944580078125,742.545166015625,980.38330078125,1250.365966796875,863.111572265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,495.9426879882813,1055.2442626953125,1273.2550048828125,594.9519653320312,391.6314086914063,1541.349365234375,1939.4583740234373,1624.3017578125,843.7046508789062,319.2679138183594,1083.2757568359375,475.1788940429688,481.115234375,1206.990478515625,749.7495727539062,983.7933349609376,1247.9505615234375,869.9188232421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
