Date,JPY=X,^TNX,^VIX,^SOX,CL=F,HG=F,NG=F,GC=F,^GSPC,^IXIC,000001.SS,^GDAXI,ZIM
2021-04-05,,1.7200000286102295,17.90999984741211,3305.429931640625,,,,,4077.909912109375,13705.58984375,,,6.445925712585449
2021-04-06,110.19300079345705,1.656000018119812,18.1200008392334,3266.10009765625,59.33000183105469,4.126500129699707,2.4560000896453857,1741.5,4073.93994140625,13698.3798828125,3482.969970703125,15212.6796875,6.328726768493652
2021-04-07,109.79299926757812,1.652999997138977,17.15999984741211,3266.4599609375,59.77000045776367,4.064000129699707,2.5199999809265137,1740.0999755859375,4079.949951171875,13688.83984375,3479.6298828125,15176.3603515625,6.685206413269043
2021-04-08,109.85199737548828,1.631999969482422,16.950000762939453,3301.260009765625,59.59999847412109,4.103499889373779,2.5220000743865967,1756.800048828125,4097.169921875,13829.3095703125,3482.550048828125,15202.6796875,7.44699764251709
2021-04-09,109.33000183105467,1.6660000085830688,16.690000534057617,3294.530029296875,59.31999969482422,4.05049991607666,2.526000022888184,1743.300048828125,4128.7998046875,13900.1904296875,3450.679931640625,15234.16015625,7.581288337707519
2021-04-12,109.69400024414062,1.6749999523162842,16.90999984741211,3258.330078125,59.70000076293945,4.03000020980835,2.561000108718872,1731.199951171875,4127.990234375,13850.0,3412.949951171875,15215.0,7.258992195129394
2021-04-13,109.3740005493164,1.6230000257492063,16.649999618530273,3252.699951171875,60.18000030517578,4.043000221252441,2.61899995803833,1746.199951171875,4141.58984375,13996.099609375,3396.469970703125,15234.3603515625,6.926928997039795
2021-04-14,108.92400360107422,1.6380000114440918,16.989999771118164,3213.8798828125,63.150001525878906,4.139999866485596,2.618000030517578,1734.9000244140625,4124.66015625,13857.83984375,3416.719970703125,15209.150390625,6.929369449615479
2021-04-15,108.8939971923828,1.5299999713897705,16.56999969482422,3271.330078125,63.459999084472656,4.230500221252441,2.657999992370605,1765.4000244140625,4170.419921875,14038.759765625,3398.989990234375,15255.330078125,7.163767814636231
2021-04-16,108.68900299072266,1.5729999542236328,16.25,3253.080078125,63.130001068115234,4.179999828338623,2.680000066757202,1779.0,4185.47021484375,14052.33984375,3426.6201171875,15459.75,7.781501770019531
2021-04-19,108.71900177001952,1.60099995136261,17.290000915527344,3171.0,63.380001068115234,4.25,2.749000072479248,1769.4000244140625,4163.259765625,13914.76953125,3477.550048828125,15368.3896484375,7.691161155700684
2021-04-20,108.0979995727539,1.562000036239624,18.68000030517578,3121.429931640625,62.43999862670898,4.223999977111816,2.726999998092652,1777.300048828125,4134.93994140625,13786.26953125,3472.93994140625,15129.509765625,7.014828681945801
2021-04-21,108.13300323486328,1.5640000104904177,17.5,3207.25,61.34999847412109,4.286499977111816,2.691999912261963,1792.300048828125,4173.419921875,13950.2197265625,3472.929931640625,15195.9697265625,7.2394585609436035
2021-04-22,108.03900146484376,1.5540000200271606,18.709999084472656,3133.169921875,61.43000030517578,4.2804999351501465,2.749000072479248,1781.199951171875,4134.97998046875,13818.41015625,3465.110107421875,15320.51953125,7.471414089202881
2021-04-23,107.97799682617188,1.5670000314712524,17.329999923706055,3196.97998046875,62.13999938964844,4.3429999351501465,2.7300000190734863,1777.0,4180.169921875,14016.8095703125,3474.169921875,15279.6201171875,7.920675754547119
2021-04-26,107.8740005493164,1.5700000524520874,17.639999389648438,3250.260009765625,61.90999984741211,4.447999954223633,2.789999961853028,1779.199951171875,4187.6201171875,14138.7802734375,3441.169921875,15296.33984375,8.31866455078125
2021-04-27,108.2020034790039,1.621999979019165,17.559999465942383,3225.610107421875,62.93999862670898,4.743000030517578,2.872999906539917,1778.0,4186.72021484375,14090.2197265625,3442.610107421875,15249.26953125,8.069615364074707
2021-04-28,108.75,1.6200000047683716,17.280000686645508,3178.489990234375,63.86000061035156,4.537000179290772,2.924999952316284,1773.199951171875,4183.18017578125,14051.0302734375,3457.070068359375,15292.1796875,8.362611770629883
2021-04-29,108.50499725341795,1.6399999856948853,17.610000610351562,3202.5,65.01000213623047,4.493000030517578,2.9110000133514404,1768.0999755859375,4211.47021484375,14082.5498046875,3474.89990234375,15154.2001953125,8.760600090026855
2021-04-30,108.90399932861328,1.63100004196167,18.61000061035156,3108.989990234375,63.58000183105469,4.479000091552734,2.930999994277954,1767.300048828125,4181.169921875,13962.6796875,3446.860107421875,15135.91015625,9.143936157226562
2021-05-03,109.28299713134766,1.6069999933242798,18.309999465942383,3073.3798828125,64.48999786376953,4.543000221252441,2.9660000801086426,1791.4000244140625,4192.66015625,13895.1201171875,,15236.4697265625,9.385659217834473
2021-05-04,109.08699798583984,1.5920000076293943,19.479999542236328,3024.31005859375,65.69000244140625,4.535999774932861,2.9670000076293945,1775.800048828125,4164.66015625,13633.5,,14856.48046875,9.683538436889648
2021-05-05,109.3290023803711,1.5839999914169312,19.14999961853028,3042.8798828125,65.62999725341797,4.539000034332275,2.937999963760376,1784.0999755859375,4167.58984375,13582.419921875,,15170.7802734375,10.23779010772705
2021-05-06,109.21900177001952,1.5609999895095823,18.38999938964844,3066.219970703125,64.70999908447266,4.61899995803833,2.927999973297119,1815.5,4201.6201171875,13632.83984375,3441.280029296875,15196.740234375,9.615171432495115
2021-05-07,109.0500030517578,1.5770000219345093,16.690000534057617,3112.030029296875,64.9000015258789,4.765999794006348,2.9579999446868896,1831.0999755859373,4232.60009765625,13752.240234375,3418.8701171875,15399.650390625,9.664006233215332
2021-05-10,108.5719985961914,1.6019999980926514,19.65999984741211,2967.110107421875,64.91999816894531,4.733500003814697,2.931999921798706,1837.5,4188.43017578125,13401.8603515625,3427.989990234375,15400.41015625,9.424724578857422
2021-05-11,108.84400177001952,1.6239999532699585,21.84000015258789,2976.010009765625,65.27999877929688,4.778500080108643,2.9549999237060547,1835.9000244140625,4152.10009765625,13389.4296875,3441.85009765625,15119.75,8.404118537902832
2021-05-12,108.71499633789062,1.6950000524520874,27.59000015258789,2851.14990234375,66.08000183105469,4.752500057220459,2.969000101089477,1822.5999755859373,4063.0400390625,13031.6796875,3462.75,15150.2197265625,8.911980628967285
2021-05-13,109.66400146484376,1.6679999828338623,23.1299991607666,2893.93994140625,63.81999969482422,4.70550012588501,2.9730000495910645,1823.800048828125,4112.5,13124.990234375,3429.5400390625,15199.6796875,8.594569206237793
2021-05-14,109.51599884033205,1.6349999904632568,18.809999465942383,2981.419921875,65.37000274658203,4.664000034332275,2.9609999656677246,1837.9000244140625,4173.85009765625,13429.98046875,3490.3798828125,15416.6396484375,9.436932563781738
2021-05-17,109.41200256347656,1.6399999856948853,19.71999931335449,2954.6298828125,66.2699966430664,4.721499919891357,3.108999967575073,1867.5,4163.2900390625,13379.0498046875,3517.6201171875,15396.6201171875,10.013158798217772
2021-05-18,109.24199676513672,1.6419999599456787,21.34000015258789,2929.14990234375,65.48999786376953,4.735499858856201,3.01200008392334,1867.800048828125,4127.830078125,13303.6396484375,3529.010009765625,15386.580078125,10.181632041931152
2021-05-19,108.86799621582033,1.6829999685287476,22.18000030517578,2987.280029296875,63.36000061035156,4.589499950408936,2.96399998664856,1881.300048828125,4115.68017578125,13299.740234375,3510.9599609375,15113.5595703125,11.097249031066896
2021-05-20,109.27300262451172,1.633999943733215,20.670000076293945,3066.110107421875,62.04999923706055,4.581999778747559,2.924999952316284,1881.800048828125,4159.1201171875,13535.740234375,3506.93994140625,15370.259765625,10.682169914245604
2021-05-21,108.86000061035156,1.631999969482422,20.14999961853028,3052.10009765625,63.58000183105469,4.495999813079834,2.9059998989105225,1876.699951171875,4155.85986328125,13470.990234375,3486.56005859375,15437.509765625,10.63333511352539
2021-05-24,108.91899871826172,1.6080000400543213,18.39999961853028,3122.97998046875,66.05000305175781,4.541500091552734,2.885999917984009,1884.5999755859373,4197.0498046875,13661.169921875,3497.280029296875,,10.67240047454834
2021-05-25,108.85099792480467,1.5640000104904177,18.84000015258789,3134.669921875,66.06999969482422,4.521999835968018,2.9130001068115234,1898.0999755859373,4188.1298828125,13657.169921875,3581.340087890625,15465.08984375,10.003393173217772
2021-05-26,108.802001953125,1.5740000009536743,17.360000610351562,3140.97998046875,66.20999908447266,4.5329999923706055,2.983999967575073,1901.300048828125,4195.990234375,13738.0,3593.360107421875,15450.7197265625,10.11326503753662
2021-05-27,109.16999816894533,1.6100000143051147,16.739999771118164,3159.27001953125,66.8499984741211,4.666500091552734,2.9579999446868896,1895.699951171875,4200.8798828125,13736.2802734375,3608.85009765625,15406.73046875,10.984930992126465
2021-05-28,109.80899810791016,1.5809999704360962,16.760000228881836,3186.56005859375,66.31999969482422,4.682499885559082,2.986000061035156,1902.5,4204.10986328125,13748.740234375,3600.780029296875,15519.98046875,11.32920265197754
2021-05-31,109.90699768066406,,,,,,,,,,3615.47998046875,15421.1298828125,
2021-06-01,109.49299621582033,1.6150000095367432,17.899999618530273,3174.320068359375,67.72000122070312,4.662000179290772,3.1040000915527344,1902.9000244140625,4202.0400390625,13736.48046875,3624.7099609375,15567.3603515625,10.63333511352539
2021-06-02,109.49299621582033,1.590999960899353,17.479999542236328,3196.97998046875,68.83000183105469,4.599999904632568,3.075000047683716,1907.5,4208.1201171875,13756.330078125,3597.139892578125,15602.7099609375,10.779836654663086
2021-06-03,109.59500122070312,1.625,18.040000915527344,3139.18994140625,68.80999755859375,4.471499919891357,3.04099988937378,1871.199951171875,4192.85009765625,13614.509765625,3584.2099609375,15632.669921875,9.986302375793455
2021-06-04,110.26599884033205,1.559999942779541,16.420000076293945,3214.139892578125,69.62000274658203,4.537499904632568,3.0969998836517334,1889.800048828125,4229.89013671875,13814.490234375,3591.840087890625,15692.900390625,9.764113426208496
2021-06-07,109.61699676513672,1.569000005722046,16.420000076293945,3191.659912109375,69.2300033569336,4.534999847412109,3.069999933242798,1896.800048828125,4226.52001953125,13881.7197265625,3599.5400390625,15677.150390625,10.406262397766112
